website_id,day,no_users,ad_impressions,ad_clicks,Income
1,01-07-2020,39196,109834,237,76.17
2,02-07-2020,27651,287612,793,243.11
3,03-07-2020,8483,501099,1545,410.99
1,04-07-2020,12763,56990,160,40.01
2,05-07-2020,10666,170555,343,98.78
3,06-07-2020,21189,370101,804,121.12
1,07-07-2020,18998,145783,348,134.91
2,08-07-2020,25987,295633,782,144.71
3,09-07-2020,38616,117825,342,95.6
1,10-07-2020,29715,320101,1029,189.88
2,11-07-2020,22769,143320,423,76.5
3,12-07-2020,18956,168123,378,112.12
1,13-07-2020,21000,178423,526,98.81
2,14-07-2020,28110,172505,407,89.13
3,15-07-2020,34345,57924,135,33.75
1,16-07-2020,32988,311300,609,121.73
2,17-07-2020,25500,187530,383,57.47
3,18-07-2020,33164,236598,594,118.75
1,19-07-2020,34100,345678,857,197.08
2,20-07-2020,10799,80012,229,52.58
